target,discovered,wrong letters,number of hits,lives remaining,game won
aggressor,"['a', '_', '_', 'r', 'e', 's', 's', 'o', 'r']","['i', 't', 'l', 'd', 'n', 'c', 'p', 'm', 'b', 'w']",7,0,False
thrills,"['t', 'h', 'r', 'i', 'l', 'l', 's']","['e', 'a', 'o', 'n', 'u', 'y', 'c', 'g']",7,2,True
democratisation,"['d', 'e', 'm', 'o', 'c', 'r', 'a', 't', 'i', 's', 'a', 't', 'i', 'o', 'n']","['l', 'p', 'u', 'g', 'f']",15,5,True
thoughts,"['t', 'h', 'o', 'u', '_', 'h', 't', 's']","['e', 'i', 'a', 'r', 'l', 'n', 'c', 'p', 'f', 'd']",7,0,False
randomises,"['r', 'a', 'n', 'd', 'o', 'm', 'i', 's', 'e', 's']","['t', 'l', 'c', 'g', 'p']",10,5,True
goofed,"['g', 'o', 'o', '_', 'e', 'd']","['s', 'r', 'n', 'l', 't', 'a', 'p', 'b', 'c', 'i']",5,0,False
shrimp,"['s', 'h', 'r', 'i', 'm', 'p']","['e', 'a', 'o', 'u', 'n', 't', 'l', 'c', 'f']",6,1,True
unhitch,"['u', 'n', 'h', 'i', 't', 'c', 'h']","['e', 'a', 'o', 'g', 's', 'l', 'r', 'm']",7,2,True
scrubbed,"['s', 'c', 'r', 'u', 'b', 'b', 'e', 'd']","['i', 'a', 'o', 't', 'l', 'n', 'p']",8,3,True
apart,"['a', 'p', 'a', 'r', 't']","['e', 's', 'o', 'i', 'u', 'y', 'c', 'n', 'm']",5,1,True
muse,"['m', 'u', 's', 'e']","['i', 'a', 'o', 't', 'l', 'r', 'd', 'p', 'n']",4,1,True
sneered,"['s', 'n', 'e', 'e', 'r', 'e', 'd']","['i', 'a', 'o', 'u', 't', 'l']",7,4,True
conserved,"['c', 'o', 'n', 's', 'e', 'r', 'v', 'e', 'd']","['i', 'a', 't', 'u', 'l', 'p', 'm', 'h']",9,2,True
reeve,"['r', 'e', 'e', '_', 'e']","['s', 'a', 'o', 'i', 'u', 't', 'y', 'l', 'd', 'c']",4,0,False
