target,discovered,wrong letters,number of hits,lives remaining,game won
dressed,"['d', '_', 'e', '_', '_', 'e', 'd']","['a', 'b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",4,0,False
interlinked,"['i', 'n', '_', 'e', '_', 'l', 'i', 'n', 'k', 'e', 'd']","['a', 'b', 'c', 'f', 'g', 'h', 'j', 'm', 'o', 'p']",9,0,False
sidestroking,"['_', 'i', 'd', 'e', '_', '_', '_', 'o', 'k', 'i', 'n', 'g']","['a', 'b', 'c', 'f', 'h', 'j', 'l', 'm', 'p', 'q']",8,0,False
yeas,"['_', 'e', 'a', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",2,0,False
interpersonal,"['i', 'n', '_', 'e', '_', 'p', 'e', '_', '_', 'o', 'n', 'a', 'l']","['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'q']",9,0,False
junketing,"['j', '_', 'n', 'k', 'e', '_', 'i', 'n', 'g']","['a', 'b', 'c', 'd', 'f', 'h', 'l', 'm', 'o', 'p']",7,0,False
infests,"['i', '_', 'f', 'e', '_', '_', '_']","['a', 'b', 'c', 'd', 'g', 'h', 'j', 'k', 'l', 'm']",3,0,False
undistinguished,"['_', 'n', 'd', 'i', '_', '_', 'i', 'n', 'g', '_', 'i', '_', 'h', 'e', 'd']","['a', 'b', 'c', 'f', 'j', 'k', 'l', 'm', 'o', 'p']",10,0,False
proportionately,"['p', '_', 'o', 'p', 'o', '_', '_', 'i', 'o', 'n', 'a', '_', 'e', 'l', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'q']",10,0,False
coring,"['c', '_', '_', 'i', '_', 'g']","['a', 'b', 'd', 'e', 'f', 'h', 'j', 'k', 'l', 'm']",3,0,False
slogan,"['_', 'l', '_', 'g', 'a', '_']","['b', 'c', 'd', 'e', 'f', 'h', 'i', 'j', 'k', 'm']",3,0,False
lift,"['l', 'i', 'f', '_']","['a', 'b', 'c', 'd', 'e', 'g', 'h', 'j', 'k', 'm']",3,0,False
south,"['_', '_', '_', '_', 'h']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'i', 'j', 'k']",1,0,False
spacecrafts,"['_', '_', 'a', 'c', 'e', 'c', '_', 'a', 'f', '_', '_']","['b', 'd', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n']",6,0,False
spray,"['_', '_', '_', 'a', '_']","['b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k']",1,0,False
petitions,"['_', 'e', '_', 'i', '_', 'i', '_', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l']",3,0,False
orderings,"['o', '_', 'd', 'e', '_', 'i', 'n', 'g', '_']","['a', 'b', 'c', 'f', 'h', 'j', 'k', 'l', 'm', 'p']",6,0,False
waterproofing,"['_', 'a', '_', 'e', 'r', 'p', 'r', 'o', 'o', 'f', 'i', 'n', 'g']","['b', 'c', 'd', 'h', 'j', 'k', 'l', 'm', 'q', 's']",11,0,False
lollygagging,"['l', 'o', 'l', 'l', '_', 'g', 'a', 'g', 'g', 'i', 'n', 'g']","['b', 'c', 'd', 'e', 'f', 'h', 'j', 'k', 'm', 'p']",11,0,False
inhumanly,"['i', 'n', 'h', '_', 'm', 'a', 'n', 'l', '_']","['b', 'c', 'd', 'e', 'f', 'g', 'j', 'k', 'o', 'p']",7,0,False
shillelagh,"['_', 'h', 'i', 'l', 'l', 'e', 'l', 'a', 'g', 'h']","['b', 'c', 'd', 'f', 'j', 'k', 'm', 'n', 'o', 'p']",9,0,False
veers,"['_', 'e', 'e', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k']",2,0,False
renegotiates,"['_', 'e', 'n', 'e', 'g', 'o', '_', 'i', 'a', '_', 'e', '_']","['b', 'c', 'd', 'f', 'h', 'j', 'k', 'l', 'm', 'p']",8,0,False
inexhaustible,"['i', 'n', 'e', '_', 'h', 'a', '_', '_', '_', 'i', 'b', 'l', 'e']","['c', 'd', 'f', 'g', 'j', 'k', 'm', 'o', 'p', 'q']",9,0,False
commercialises,"['c', 'o', 'm', 'm', 'e', '_', 'c', 'i', 'a', 'l', 'i', '_', 'e', '_']","['b', 'd', 'f', 'g', 'h', 'j', 'k', 'n', 'p', 'q']",11,0,False
pretentiousness,"['_', '_', 'e', '_', 'e', '_', '_', 'i', '_', '_', '_', '_', 'e', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l']",4,0,False
