target,discovered,wrong letters,number of hits,lives remaining,game won
flyspecking,"['f', 'l', 'y', 's', 'p', 'e', 'c', '_', 'i', 'n', 'g']","['t', 'a', 'o', 'h', 'r', 'd', 'u', 'm', 'w', 'b']",10,0,False
sink,"['s', 'i', 'n', '_']","['e', 't', 'a', 'o', 'h', 'r', 'd', 'l', 'u', 'm']",3,0,False
mode,"['m', 'o', 'd', 'e']","['t', 'a', 'i', 'h', 'n', 's', 'r', 'l', 'u']",4,1,True
horseplay,"['h', 'o', 'r', 's', 'e', '_', 'l', 'a', 'y']","['t', 'i', 'n', 'd', 'u', 'm', 'w', 'c', 'f', 'g']",8,0,False
segmenting,"['s', 'e', '_', 'm', 'e', 'n', 't', 'i', 'n', '_']","['a', 'o', 'h', 'r', 'd', 'l', 'u', 'w', 'c', 'y']",8,0,False
yearlings,"['y', 'e', 'a', 'r', 'l', 'i', 'n', 'g', 's']","['t', 'o', 'h', 'd', 'u', 'm', 'w', 'c', 'f']",9,1,True
uprooting,"['u', '_', 'r', 'o', 'o', 't', 'i', 'n', '_']","['e', 'a', 'h', 's', 'd', 'l', 'm', 'w', 'c', 'y']",7,0,False
cot,"['_', 'o', 't']","['e', 'a', 'i', 'h', 'n', 's', 'r', 'd', 'l', 'u']",2,0,False
hypermarket,"['h', 'y', '_', 'e', 'r', 'm', 'a', 'r', '_', 'e', 't']","['o', 'i', 'n', 's', 'd', 'l', 'u', 'w', 'c', 'f']",9,0,False
aroma,"['a', 'r', 'o', 'm', 'a']","['e', 't', 'i', 'h', 'n', 's', 'd', 'l', 'u']",5,1,True
consignment,"['c', 'o', 'n', 's', 'i', 'g', 'n', 'm', 'e', 'n', 't']","['a', 'h', 'r', 'd', 'l', 'u', 'w', 'y', 'f']",11,1,True
yen,"['_', 'e', 'n']","['t', 'a', 'o', 'i', 'h', 's', 'r', 'd', 'l', 'u']",2,0,False
huffs,"['h', 'u', '_', '_', 's']","['e', 't', 'a', 'o', 'i', 'n', 'r', 'd', 'l', 'm']",3,0,False
effectively,"['e', '_', '_', 'e', '_', 't', 'i', '_', 'e', 'l', '_']","['a', 'o', 'h', 'n', 's', 'r', 'd', 'u', 'm', 'w']",6,0,False
midterm,"['m', 'i', 'd', 't', 'e', 'r', 'm']","['a', 'o', 'h', 'n', 's', 'l', 'u']",7,3,True
dustman,"['d', 'u', 's', 't', 'm', 'a', 'n']","['e', 'o', 'i', 'h', 'r', 'l']",7,4,True
fatter,"['_', 'a', 't', 't', 'e', 'r']","['o', 'i', 'h', 'n', 's', 'd', 'l', 'u', 'm', 'w']",5,0,False
northerner,"['n', 'o', 'r', 't', 'h', 'e', 'r', 'n', 'e', 'r']","['a', 'i', 's']",10,7,True
indecorous,"['i', 'n', 'd', 'e', 'c', 'o', 'r', 'o', 'u', 's']","['t', 'a', 'h', 'l', 'm', 'w']",10,4,True
canto,"['_', 'a', 'n', 't', 'o']","['e', 'i', 'h', 's', 'r', 'd', 'l', 'u', 'm', 'w']",4,0,False
inflexibility,"['i', 'n', '_', 'l', 'e', '_', 'i', '_', 'i', 'l', 'i', 't', '_']","['a', 'o', 'h', 's', 'r', 'd', 'u', 'm', 'w', 'c']",9,0,False
undaunted,"['u', 'n', 'd', 'a', 'u', 'n', 't', 'e', 'd']","['o', 'i', 'h', 's', 'r', 'l']",9,4,True
saline,"['s', 'a', 'l', 'i', 'n', 'e']","['t', 'o', 'h', 'r', 'd']",6,5,True
resend,"['r', 'e', 's', 'e', 'n', 'd']","['t', 'a', 'o', 'i', 'h']",6,5,True
finality,"['_', 'i', 'n', 'a', 'l', 'i', 't', '_']","['e', 'o', 'h', 's', 'r', 'd', 'u', 'm', 'w', 'c']",6,0,False
rye,"['r', '_', 'e']","['t', 'a', 'o', 'i', 'h', 'n', 's', 'd', 'l', 'u']",2,0,False
birdcage,"['_', 'i', 'r', 'd', 'c', 'a', '_', 'e']","['t', 'o', 'h', 'n', 's', 'l', 'u', 'm', 'w', 'y']",6,0,False
exhales,"['e', '_', 'h', 'a', 'l', 'e', 's']","['t', 'o', 'i', 'n', 'r', 'd', 'u', 'm', 'w', 'c']",6,0,False
yaks,"['_', 'a', '_', 's']","['e', 't', 'o', 'i', 'h', 'n', 'r', 'd', 'l', 'u']",2,0,False
grasses,"['_', 'r', 'a', 's', 's', 'e', 's']","['t', 'o', 'i', 'h', 'n', 'd', 'l', 'u', 'm', 'w']",6,0,False
hornet,"['h', 'o', 'r', 'n', 'e', 't']","['a', 'i', 's']",6,7,True
disquisition,"['d', 'i', 's', '_', 'u', 'i', 's', 'i', 't', 'i', 'o', 'n']","['e', 'a', 'h', 'r', 'l', 'm', 'w', 'c', 'y', 'f']",11,0,False
churn,"['_', 'h', 'u', 'r', 'n']","['e', 't', 'a', 'o', 'i', 's', 'd', 'l', 'm', 'w']",4,0,False
silvered,"['s', 'i', 'l', '_', 'e', 'r', 'e', 'd']","['t', 'a', 'o', 'h', 'n', 'u', 'm', 'w', 'c', 'y']",7,0,False
luncheons,"['l', 'u', 'n', 'c', 'h', 'e', 'o', 'n', 's']","['t', 'a', 'i', 'r', 'd', 'm', 'w']",9,3,True
tabulators,"['t', 'a', '_', 'u', 'l', 'a', 't', 'o', 'r', 's']","['e', 'i', 'h', 'n', 'd', 'm', 'w', 'c', 'y', 'f']",9,0,False
croquet,"['c', 'r', 'o', '_', 'u', 'e', 't']","['a', 'i', 'h', 'n', 's', 'd', 'l', 'm', 'w', 'y']",6,0,False
encroachments,"['e', 'n', 'c', 'r', 'o', 'a', 'c', 'h', 'm', 'e', 'n', 't', 's']","['i', 'd', 'l', 'u', 'w']",13,5,True
crybabies,"['c', 'r', 'y', '_', 'a', '_', 'i', 'e', 's']","['t', 'o', 'h', 'n', 'd', 'l', 'u', 'm', 'w', 'f']",7,0,False
edifices,"['e', 'd', 'i', '_', 'i', '_', 'e', 's']","['t', 'a', 'o', 'h', 'n', 'r', 'l', 'u', 'm', 'w']",6,0,False
eyestrain,"['e', 'y', 'e', 's', 't', 'r', 'a', 'i', 'n']","['o', 'h', 'd', 'l', 'u', 'm', 'w', 'c']",9,2,True
backward,"['_', 'a', '_', '_', '_', 'a', 'r', 'd']","['e', 't', 'o', 'i', 'h', 'n', 's', 'l', 'u', 'm']",4,0,False
tearjerker,"['t', 'e', 'a', 'r', '_', 'e', 'r', '_', 'e', 'r']","['o', 'i', 'h', 'n', 's', 'd', 'l', 'u', 'm', 'w']",8,0,False
enthusing,"['e', 'n', 't', 'h', 'u', 's', 'i', 'n', '_']","['a', 'o', 'r', 'd', 'l', 'm', 'w', 'c', 'y', 'f']",8,0,False
inescapably,"['i', 'n', 'e', 's', 'c', 'a', '_', 'a', '_', 'l', 'y']","['t', 'o', 'h', 'r', 'd', 'u', 'm', 'w', 'f', 'g']",9,0,False
dancers,"['d', 'a', 'n', 'c', 'e', 'r', 's']","['t', 'o', 'i', 'h', 'l', 'u', 'm', 'w']",7,2,True
cowardliness,"['c', 'o', 'w', 'a', 'r', 'd', 'l', 'i', 'n', 'e', 's', 's']","['t', 'h', 'u', 'm']",12,6,True
allocation,"['a', 'l', 'l', 'o', 'c', 'a', 't', 'i', 'o', 'n']","['e', 'h', 's', 'r', 'd', 'u', 'm', 'w']",10,2,True
hurls,"['h', 'u', 'r', 'l', 's']","['e', 't', 'a', 'o', 'i', 'n', 'd']",5,3,True
sighted,"['s', 'i', '_', 'h', 't', 'e', 'd']","['a', 'o', 'n', 'r', 'l', 'u', 'm', 'w', 'c', 'y']",6,0,False
plausibly,"['_', 'l', 'a', 'u', 's', 'i', '_', 'l', '_']","['e', 't', 'o', 'h', 'n', 'r', 'd', 'm', 'w', 'c']",6,0,False
unguents,"['u', 'n', '_', 'u', 'e', 'n', 't', 's']","['a', 'o', 'i', 'h', 'r', 'd', 'l', 'm', 'w', 'c']",7,0,False
inattentive,"['i', 'n', 'a', 't', 't', 'e', 'n', 't', 'i', '_', 'e']","['o', 'h', 's', 'r', 'd', 'l', 'u', 'm', 'w', 'c']",10,0,False
disintegrating,"['d', 'i', 's', 'i', 'n', 't', 'e', 'g', 'r', 'a', 't', 'i', 'n', 'g']","['o', 'h', 'l', 'u', 'm', 'w', 'c', 'y', 'f']",14,1,True
laddies,"['l', 'a', 'd', 'd', 'i', 'e', 's']","['t', 'o', 'h', 'n', 'r']",7,5,True
mongering,"['m', 'o', 'n', '_', 'e', 'r', 'i', 'n', '_']","['t', 'a', 'h', 's', 'd', 'l', 'u', 'w', 'c', 'y']",7,0,False
lamps,"['l', 'a', 'm', '_', 's']","['e', 't', 'o', 'i', 'h', 'n', 'r', 'd', 'u', 'w']",4,0,False
coccus,"['_', 'o', '_', '_', 'u', 's']","['e', 't', 'a', 'i', 'h', 'n', 'r', 'd', 'l', 'm']",3,0,False
commercials,"['c', 'o', 'm', 'm', 'e', 'r', 'c', 'i', 'a', 'l', 's']","['t', 'h', 'n', 'd', 'u', 'w']",11,4,True
odourless,"['o', 'd', 'o', 'u', 'r', 'l', 'e', 's', 's']","['t', 'a', 'i', 'h', 'n']",9,5,True
firearms,"['_', 'i', 'r', 'e', 'a', 'r', 'm', 's']","['t', 'o', 'h', 'n', 'd', 'l', 'u', 'w', 'c', 'y']",7,0,False
herbivore,"['h', 'e', 'r', '_', 'i', '_', 'o', 'r', 'e']","['t', 'a', 'n', 's', 'd', 'l', 'u', 'm', 'w', 'c']",7,0,False
ornamented,"['o', 'r', 'n', 'a', 'm', 'e', 'n', 't', 'e', 'd']","['i', 'h', 's', 'l', 'u']",10,5,True
freewheeled,"['_', 'r', 'e', 'e', 'w', 'h', 'e', 'e', 'l', 'e', 'd']","['t', 'a', 'o', 'i', 'n', 's', 'u', 'm', 'c', 'y']",10,0,False
primates,"['_', 'r', 'i', 'm', 'a', 't', 'e', 's']","['o', 'h', 'n', 'd', 'l', 'u', 'w', 'c', 'y', 'f']",7,0,False
playthings,"['p', 'l', 'a', 'y', 't', 'h', 'i', 'n', 'g', 's']","['e', 'o', 'r', 'd', 'u', 'm', 'w', 'c', 'f']",10,1,True
thimble,"['t', 'h', 'i', 'm', '_', 'l', 'e']","['a', 'o', 'n', 's', 'r', 'd', 'u', 'w', 'c', 'y']",6,0,False
subversion,"['s', 'u', '_', '_', 'e', 'r', 's', 'i', 'o', 'n']","['t', 'a', 'h', 'd', 'l', 'm', 'w', 'c', 'y', 'f']",8,0,False
kid,"['_', 'i', 'd']","['e', 't', 'a', 'o', 'h', 'n', 's', 'r', 'l', 'u']",2,0,False
fortune,"['_', 'o', 'r', 't', 'u', 'n', 'e']","['a', 'i', 'h', 's', 'd', 'l', 'm', 'w', 'c', 'y']",6,0,False
overbook,"['o', '_', 'e', 'r', '_', 'o', 'o', '_']","['t', 'a', 'i', 'h', 'n', 's', 'd', 'l', 'u', 'm']",5,0,False
molar,"['m', 'o', 'l', 'a', 'r']","['e', 't', 'i', 'h', 'n', 's', 'd', 'u']",5,2,True
errant,"['e', 'r', 'r', 'a', 'n', 't']","['o', 'i', 'h', 's']",6,6,True
lobbed,"['l', 'o', '_', '_', 'e', 'd']","['t', 'a', 'i', 'h', 'n', 's', 'r', 'u', 'm', 'w']",4,0,False
shipmate,"['s', 'h', 'i', '_', 'm', 'a', 't', 'e']","['o', 'n', 'r', 'd', 'l', 'u', 'w', 'c', 'y', 'f']",7,0,False
pepped,"['_', 'e', '_', '_', 'e', 'd']","['t', 'a', 'o', 'i', 'h', 'n', 's', 'r', 'l', 'u']",3,0,False
catchy,"['_', 'a', 't', '_', 'h', '_']","['e', 'o', 'i', 'n', 's', 'r', 'd', 'l', 'u', 'm']",3,0,False
resupply,"['r', 'e', 's', 'u', '_', '_', 'l', '_']","['t', 'a', 'o', 'i', 'h', 'n', 'd', 'm', 'w', 'c']",5,0,False
prohibitionist,"['_', 'r', 'o', 'h', 'i', '_', 'i', 't', 'i', 'o', 'n', 'i', 's', 't']","['e', 'a', 'd', 'l', 'u', 'm', 'w', 'c', 'y', 'f']",12,0,False
appreciations,"['a', 'p', 'p', 'r', 'e', 'c', 'i', 'a', 't', 'i', 'o', 'n', 's']","['h', 'd', 'l', 'u', 'm', 'w', 'y', 'f', 'g']",13,1,True
disintegrate,"['d', 'i', 's', 'i', 'n', 't', 'e', 'g', 'r', 'a', 't', 'e']","['o', 'h', 'l', 'u', 'm', 'w', 'c', 'y', 'f']",12,1,True
shopkeepers,"['s', 'h', 'o', '_', '_', 'e', 'e', '_', 'e', 'r', 's']","['t', 'a', 'i', 'n', 'd', 'l', 'u', 'm', 'w', 'c']",8,0,False
cackling,"['_', 'a', '_', '_', 'l', 'i', 'n', '_']","['e', 't', 'o', 'h', 's', 'r', 'd', 'u', 'm', 'w']",4,0,False
belonged,"['_', 'e', 'l', 'o', 'n', '_', 'e', 'd']","['t', 'a', 'i', 'h', 's', 'r', 'u', 'm', 'w', 'c']",6,0,False
wishbones,"['w', 'i', 's', 'h', '_', 'o', 'n', 'e', 's']","['t', 'a', 'r', 'd', 'l', 'u', 'm', 'c', 'y', 'f']",8,0,False
attenuate,"['a', 't', 't', 'e', 'n', 'u', 'a', 't', 'e']","['o', 'i', 'h', 's', 'r', 'd', 'l']",9,3,True
fondest,"['_', 'o', 'n', 'd', 'e', 's', 't']","['a', 'i', 'h', 'r', 'l', 'u', 'm', 'w', 'c', 'y']",6,0,False
fermenting,"['_', 'e', 'r', 'm', 'e', 'n', 't', 'i', 'n', '_']","['a', 'o', 'h', 's', 'd', 'l', 'u', 'w', 'c', 'y']",8,0,False
lupin,"['l', 'u', '_', 'i', 'n']","['e', 't', 'a', 'o', 'h', 's', 'r', 'd', 'm', 'w']",4,0,False
polecat,"['_', 'o', 'l', 'e', 'c', 'a', 't']","['i', 'h', 'n', 's', 'r', 'd', 'u', 'm', 'w', 'y']",6,0,False
bathmat,"['_', 'a', 't', 'h', 'm', 'a', 't']","['e', 'o', 'i', 'n', 's', 'r', 'd', 'l', 'u', 'w']",6,0,False
dispenses,"['d', 'i', 's', '_', 'e', 'n', 's', 'e', 's']","['t', 'a', 'o', 'h', 'r', 'l', 'u', 'm', 'w', 'c']",8,0,False
savaged,"['s', 'a', '_', 'a', '_', 'e', 'd']","['t', 'o', 'i', 'h', 'n', 'r', 'l', 'u', 'm', 'w']",5,0,False
biochemical,"['_', 'i', 'o', 'c', 'h', 'e', 'm', 'i', 'c', 'a', 'l']","['t', 'n', 's', 'r', 'd', 'u', 'w', 'y', 'f', 'g']",10,0,False
figs,"['_', 'i', '_', 's']","['e', 't', 'a', 'o', 'h', 'n', 'r', 'd', 'l', 'u']",2,0,False
pervades,"['_', 'e', 'r', '_', 'a', 'd', 'e', 's']","['t', 'o', 'i', 'h', 'n', 'l', 'u', 'm', 'w', 'c']",6,0,False
besiege,"['_', 'e', 's', 'i', 'e', '_', 'e']","['t', 'a', 'o', 'h', 'n', 'r', 'd', 'l', 'u', 'm']",5,0,False
readout,"['r', 'e', 'a', 'd', 'o', 'u', 't']","['i', 'h', 'n', 's', 'l']",7,5,True
braised,"['_', 'r', 'a', 'i', 's', 'e', 'd']","['t', 'o', 'h', 'n', 'l', 'u', 'm', 'w', 'c', 'y']",6,0,False
cambered,"['c', 'a', 'm', '_', 'e', 'r', 'e', 'd']","['t', 'o', 'i', 'h', 'n', 's', 'l', 'u', 'w', 'y']",7,0,False
enthuse,"['e', 'n', 't', 'h', 'u', 's', 'e']","['a', 'o', 'i', 'r', 'd', 'l']",7,4,True
bumbler,"['_', 'u', 'm', '_', 'l', 'e', 'r']","['t', 'a', 'o', 'i', 'h', 'n', 's', 'd', 'w', 'c']",5,0,False
peps,"['_', 'e', '_', 's']","['t', 'a', 'o', 'i', 'h', 'n', 'r', 'd', 'l', 'u']",2,0,False
flappers,"['_', 'l', 'a', '_', '_', 'e', 'r', 's']","['t', 'o', 'i', 'h', 'n', 'd', 'u', 'm', 'w', 'c']",5,0,False
greenhouse,"['_', 'r', 'e', 'e', 'n', 'h', 'o', 'u', 's', 'e']","['t', 'a', 'i', 'd', 'l', 'm', 'w', 'c', 'y', 'f']",9,0,False
communist,"['c', 'o', 'm', 'm', 'u', 'n', 'i', 's', 't']","['e', 'a', 'h', 'r', 'd', 'l', 'w']",9,3,True
unreliable,"['u', 'n', 'r', 'e', 'l', 'i', 'a', '_', 'l', 'e']","['t', 'o', 'h', 's', 'd', 'm', 'w', 'c', 'y', 'f']",9,0,False
uniform,"['u', 'n', 'i', '_', 'o', 'r', 'm']","['e', 't', 'a', 'h', 's', 'd', 'l', 'w', 'c', 'y']",6,0,False
pout,"['_', 'o', 'u', 't']","['e', 'a', 'i', 'h', 'n', 's', 'r', 'd', 'l', 'm']",3,0,False
disparity,"['d', 'i', 's', '_', 'a', 'r', 'i', 't', 'y']","['e', 'o', 'h', 'n', 'l', 'u', 'm', 'w', 'c', 'f']",8,0,False
pinto,"['_', 'i', 'n', 't', 'o']","['e', 'a', 'h', 's', 'r', 'd', 'l', 'u', 'm', 'w']",4,0,False
shrimping,"['s', 'h', 'r', 'i', 'm', '_', 'i', 'n', '_']","['e', 't', 'a', 'o', 'd', 'l', 'u', 'w', 'c', 'y']",7,0,False
xerography,"['_', 'e', 'r', 'o', '_', 'r', 'a', '_', 'h', '_']","['t', 'i', 'n', 's', 'd', 'l', 'u', 'm', 'w', 'c']",6,0,False
pilaff,"['_', 'i', 'l', 'a', '_', '_']","['e', 't', 'o', 'h', 'n', 's', 'r', 'd', 'u', 'm']",3,0,False
stoat,"['s', 't', 'o', 'a', 't']","['e', 'i', 'h', 'n']",5,6,True
plummeted,"['_', 'l', 'u', 'm', 'm', 'e', 't', 'e', 'd']","['a', 'o', 'i', 'h', 'n', 's', 'r', 'w', 'c', 'y']",8,0,False
dehydrate,"['d', 'e', 'h', 'y', 'd', 'r', 'a', 't', 'e']","['o', 'i', 'n', 's', 'l', 'u', 'm', 'w', 'c']",9,1,True
journalistic,"['_', 'o', 'u', 'r', 'n', 'a', 'l', 'i', 's', 't', 'i', 'c']","['e', 'h', 'd', 'm', 'w', 'y', 'f', 'g', 'p', 'b']",11,0,False
cablegram,"['c', 'a', '_', 'l', 'e', '_', 'r', 'a', 'm']","['t', 'o', 'i', 'h', 'n', 's', 'd', 'u', 'w', 'y']",7,0,False
hyphenations,"['h', 'y', 'p', 'h', 'e', 'n', 'a', 't', 'i', 'o', 'n', 's']","['r', 'd', 'l', 'u', 'm', 'w', 'c', 'f', 'g']",12,1,True
ugliness,"['u', '_', 'l', 'i', 'n', 'e', 's', 's']","['t', 'a', 'o', 'h', 'r', 'd', 'm', 'w', 'c', 'y']",7,0,False
exacerbates,"['e', '_', 'a', 'c', 'e', 'r', '_', 'a', 't', 'e', 's']","['o', 'i', 'h', 'n', 'd', 'l', 'u', 'm', 'w', 'y']",9,0,False
dehydrated,"['d', 'e', 'h', 'y', 'd', 'r', 'a', 't', 'e', 'd']","['o', 'i', 'n', 's', 'l', 'u', 'm', 'w', 'c']",10,1,True
cagiest,"['c', 'a', '_', 'i', 'e', 's', 't']","['o', 'h', 'n', 'r', 'd', 'l', 'u', 'm', 'w', 'y']",6,0,False
congruous,"['c', 'o', 'n', '_', 'r', 'u', 'o', 'u', 's']","['e', 't', 'a', 'i', 'h', 'd', 'l', 'm', 'w', 'y']",8,0,False
bonding,"['_', 'o', 'n', 'd', 'i', 'n', '_']","['e', 't', 'a', 'h', 's', 'r', 'l', 'u', 'm', 'w']",5,0,False
newsy,"['n', 'e', '_', 's', '_']","['t', 'a', 'o', 'i', 'h', 'r', 'd', 'l', 'u', 'm']",3,0,False
paperweights,"['p', 'a', 'p', 'e', 'r', 'w', 'e', 'i', 'g', 'h', 't', 's']","['o', 'n', 'd', 'l', 'u', 'm', 'c', 'y', 'f']",12,1,True
departments,"['d', 'e', '_', 'a', 'r', 't', 'm', 'e', 'n', 't', 's']","['o', 'i', 'h', 'l', 'u', 'w', 'c', 'y', 'f', 'g']",10,0,False
weaker,"['_', 'e', 'a', '_', 'e', 'r']","['t', 'o', 'i', 'h', 'n', 's', 'd', 'l', 'u', 'm']",4,0,False
adheres,"['a', 'd', 'h', 'e', 'r', 'e', 's']","['t', 'o', 'i', 'n']",7,6,True
skirts,"['s', '_', 'i', 'r', 't', 's']","['e', 'a', 'o', 'h', 'n', 'd', 'l', 'u', 'm', 'w']",5,0,False
denizen,"['d', 'e', 'n', 'i', '_', 'e', 'n']","['t', 'a', 'o', 'h', 's', 'r', 'l', 'u', 'm', 'w']",6,0,False
gotta,"['_', 'o', 't', 't', 'a']","['e', 'i', 'h', 'n', 's', 'r', 'd', 'l', 'u', 'm']",4,0,False
disengaged,"['d', 'i', 's', 'e', 'n', '_', 'a', '_', 'e', 'd']","['t', 'o', 'h', 'r', 'l', 'u', 'm', 'w', 'c', 'y']",8,0,False
pictographs,"['p', 'i', 'c', 't', 'o', 'g', 'r', 'a', 'p', 'h', 's']","['e', 'n', 'd', 'l', 'u', 'm', 'w', 'y', 'f']",11,1,True
potfuls,"['_', 'o', 't', '_', 'u', 'l', 's']","['e', 'a', 'i', 'h', 'n', 'r', 'd', 'm', 'w', 'c']",5,0,False
swivel,"['s', 'w', 'i', '_', 'e', 'l']","['t', 'a', 'o', 'h', 'n', 'r', 'd', 'u', 'm', 'c']",5,0,False
sugared,"['s', 'u', '_', 'a', 'r', 'e', 'd']","['t', 'o', 'i', 'h', 'n', 'l', 'm', 'w', 'c', 'y']",6,0,False
homogenise,"['h', 'o', 'm', 'o', '_', 'e', 'n', 'i', 's', 'e']","['t', 'a', 'r', 'd', 'l', 'u', 'w', 'c', 'y', 'f']",9,0,False
hypotheses,"['h', '_', '_', 'o', 't', 'h', 'e', 's', 'e', 's']","['a', 'i', 'n', 'r', 'd', 'l', 'u', 'm', 'w', 'c']",8,0,False
whelp,"['_', 'h', 'e', 'l', '_']","['t', 'a', 'o', 'i', 'n', 's', 'r', 'd', 'u', 'm']",3,0,False
neighbored,"['n', 'e', 'i', '_', 'h', '_', 'o', 'r', 'e', 'd']","['t', 'a', 's', 'l', 'u', 'm', 'w', 'c', 'y', 'f']",8,0,False
epitomising,"['e', '_', 'i', 't', 'o', 'm', 'i', 's', 'i', 'n', '_']","['a', 'h', 'r', 'd', 'l', 'u', 'w', 'c', 'y', 'f']",9,0,False
kneecap,"['_', 'n', 'e', 'e', '_', 'a', '_']","['t', 'o', 'i', 'h', 's', 'r', 'd', 'l', 'u', 'm']",4,0,False
unionise,"['u', 'n', 'i', 'o', 'n', 'i', 's', 'e']","['t', 'a', 'h', 'r', 'd', 'l']",8,4,True
monomania,"['m', 'o', 'n', 'o', 'm', 'a', 'n', 'i', 'a']","['e', 't', 'h', 's', 'r', 'd', 'l', 'u']",9,2,True
serenity,"['s', 'e', 'r', 'e', 'n', 'i', 't', 'y']","['a', 'o', 'h', 'd', 'l', 'u', 'm', 'w', 'c']",8,1,True
wagon,"['_', 'a', '_', 'o', 'n']","['e', 't', 'i', 'h', 's', 'r', 'd', 'l', 'u', 'm']",3,0,False
colleens,"['c', 'o', 'l', 'l', 'e', 'e', 'n', 's']","['t', 'a', 'i', 'h', 'r', 'd', 'u', 'm', 'w']",8,1,True
midweek,"['m', 'i', 'd', 'w', 'e', 'e', '_']","['t', 'a', 'o', 'h', 'n', 's', 'r', 'l', 'u', 'c']",6,0,False
hindmost,"['h', 'i', 'n', 'd', 'm', 'o', 's', 't']","['e', 'a', 'r', 'l', 'u']",8,5,True
skyjacked,"['s', '_', '_', '_', 'a', '_', '_', 'e', 'd']","['t', 'o', 'i', 'h', 'n', 'r', 'l', 'u', 'm', 'w']",4,0,False
stolidly,"['s', 't', 'o', 'l', 'i', 'd', 'l', 'y']","['e', 'a', 'h', 'n', 'r', 'u', 'm', 'w', 'c']",8,1,True
crabbiest,"['c', 'r', 'a', '_', '_', 'i', 'e', 's', 't']","['o', 'h', 'n', 'd', 'l', 'u', 'm', 'w', 'y', 'f']",7,0,False
fizzing,"['_', 'i', '_', '_', 'i', 'n', '_']","['e', 't', 'a', 'o', 'h', 's', 'r', 'd', 'l', 'u']",3,0,False
bumper,"['_', 'u', 'm', '_', 'e', 'r']","['t', 'a', 'o', 'i', 'h', 'n', 's', 'd', 'l', 'w']",4,0,False
incidences,"['i', 'n', 'c', 'i', 'd', 'e', 'n', 'c', 'e', 's']","['t', 'a', 'o', 'h', 'r', 'l', 'u', 'm', 'w']",10,1,True
wives,"['_', 'i', '_', 'e', 's']","['t', 'a', 'o', 'h', 'n', 'r', 'd', 'l', 'u', 'm']",3,0,False
categories,"['c', 'a', 't', 'e', 'g', 'o', 'r', 'i', 'e', 's']","['h', 'n', 'd', 'l', 'u', 'm', 'w', 'y', 'f']",10,1,True
cumulus,"['_', 'u', 'm', 'u', 'l', 'u', 's']","['e', 't', 'a', 'o', 'i', 'h', 'n', 'r', 'd', 'w']",6,0,False
demeans,"['d', 'e', 'm', 'e', 'a', 'n', 's']","['t', 'o', 'i', 'h', 'r', 'l', 'u']",7,3,True
thalamus,"['t', 'h', 'a', 'l', 'a', 'm', 'u', 's']","['e', 'o', 'i', 'n', 'r', 'd']",8,4,True
fronting,"['_', 'r', 'o', 'n', 't', 'i', 'n', '_']","['e', 'a', 'h', 's', 'd', 'l', 'u', 'm', 'w', 'c']",6,0,False
habituation,"['h', 'a', '_', 'i', 't', 'u', 'a', 't', 'i', 'o', 'n']","['e', 's', 'r', 'd', 'l', 'm', 'w', 'c', 'y', 'f']",10,0,False
carnally,"['_', 'a', 'r', 'n', 'a', 'l', 'l', '_']","['e', 't', 'o', 'i', 'h', 's', 'd', 'u', 'm', 'w']",6,0,False
dimensional,"['d', 'i', 'm', 'e', 'n', 's', 'i', 'o', 'n', 'a', 'l']","['t', 'h', 'r', 'u']",11,6,True
sleekly,"['s', 'l', 'e', 'e', '_', 'l', '_']","['t', 'a', 'o', 'i', 'h', 'n', 'r', 'd', 'u', 'm']",5,0,False
photon,"['_', 'h', 'o', 't', 'o', 'n']","['e', 'a', 'i', 's', 'r', 'd', 'l', 'u', 'm', 'w']",5,0,False
serums,"['s', 'e', 'r', 'u', 'm', 's']","['t', 'a', 'o', 'i', 'h', 'n', 'd', 'l']",6,2,True
selects,"['s', 'e', 'l', 'e', '_', 't', 's']","['a', 'o', 'i', 'h', 'n', 'r', 'd', 'u', 'm', 'w']",6,0,False
disfavour,"['d', 'i', 's', 'f', 'a', '_', 'o', 'u', 'r']","['e', 't', 'h', 'n', 'l', 'm', 'w', 'c', 'y', 'g']",8,0,False
prepositions,"['_', 'r', 'e', '_', 'o', 's', 'i', 't', 'i', 'o', 'n', 's']","['a', 'h', 'd', 'l', 'u', 'm', 'w', 'c', 'y', 'f']",10,0,False
yaps,"['_', 'a', '_', 's']","['e', 't', 'o', 'i', 'h', 'n', 'r', 'd', 'l', 'u']",2,0,False
subsisting,"['s', 'u', '_', 's', 'i', 's', 't', 'i', 'n', '_']","['e', 'a', 'o', 'h', 'r', 'd', 'l', 'm', 'w', 'c']",8,0,False
scandalises,"['s', 'c', 'a', 'n', 'd', 'a', 'l', 'i', 's', 'e', 's']","['t', 'o', 'h', 'r', 'u', 'm', 'w']",11,3,True
restaurateurs,"['r', 'e', 's', 't', 'a', 'u', 'r', 'a', 't', 'e', 'u', 'r', 's']","['o', 'i', 'h', 'n', 'd', 'l']",13,4,True
redrafts,"['r', 'e', 'd', 'r', 'a', '_', 't', 's']","['o', 'i', 'h', 'n', 'l', 'u', 'm', 'w', 'c', 'y']",7,0,False
snaffle,"['s', 'n', 'a', '_', '_', 'l', 'e']","['t', 'o', 'i', 'h', 'r', 'd', 'u', 'm', 'w', 'c']",5,0,False
reciting,"['r', 'e', 'c', 'i', 't', 'i', 'n', '_']","['a', 'o', 'h', 's', 'd', 'l', 'u', 'm', 'w', 'y']",7,0,False
