target,discovered,wrong letters,number of hits,lives remaining,game won
insensitivity,"['i', 'n', 's', 'e', 'n', 's', 'i', 't', 'i', '_', 'i', 't', '_']","['a', 'o', 'h', 'r', 'd', 'l', 'u', 'm', 'w', 'c']",11,0,False
cheep,"['_', 'h', 'e', 'e', '_']","['t', 'a', 'o', 'i', 'n', 's', 'r', 'd', 'l', 'u']",3,0,False
subjects,"['s', 'u', '_', '_', 'e', '_', 't', 's']","['a', 'o', 'i', 'h', 'n', 'r', 'd', 'l', 'm', 'w']",5,0,False
sadism,"['s', 'a', 'd', 'i', 's', 'm']","['e', 't', 'o', 'h', 'n', 'r', 'l', 'u']",6,2,True
demean,"['d', 'e', 'm', 'e', 'a', 'n']","['t', 'o', 'i', 'h', 's', 'r', 'l', 'u']",6,2,True
meteorologists,"['m', 'e', 't', 'e', 'o', 'r', 'o', 'l', 'o', 'g', 'i', 's', 't', 's']","['a', 'h', 'n', 'd', 'u', 'w', 'c', 'y', 'f']",14,1,True
reappears,"['r', 'e', 'a', '_', '_', 'e', 'a', 'r', 's']","['t', 'o', 'i', 'h', 'n', 'd', 'l', 'u', 'm', 'w']",7,0,False
cankerous,"['c', 'a', 'n', '_', 'e', 'r', 'o', 'u', 's']","['t', 'i', 'h', 'd', 'l', 'm', 'w', 'y', 'f', 'g']",8,0,False
nefariousness,"['n', 'e', 'f', 'a', 'r', 'i', 'o', 'u', 's', 'n', 'e', 's', 's']","['t', 'h', 'd', 'l', 'm', 'w', 'c', 'y']",13,2,True
anted,"['a', 'n', 't', 'e', 'd']","['o', 'i', 'h', 's', 'r']",5,5,True
tidal,"['t', 'i', 'd', 'a', 'l']","['e', 'o', 'h', 'n', 's', 'r']",5,4,True
stockyard,"['s', 't', 'o', 'c', '_', 'y', 'a', 'r', 'd']","['e', 'i', 'h', 'n', 'l', 'u', 'm', 'w', 'f', 'g']",8,0,False
novel,"['n', 'o', '_', 'e', 'l']","['t', 'a', 'i', 'h', 's', 'r', 'd', 'u', 'm', 'w']",4,0,False
spotters,"['s', '_', 'o', 't', 't', 'e', 'r', 's']","['a', 'i', 'h', 'n', 'd', 'l', 'u', 'm', 'w', 'c']",7,0,False
fizz,"['_', 'i', '_', '_']","['e', 't', 'a', 'o', 'h', 'n', 's', 'r', 'd', 'l']",1,0,False
teletypewriters,"['t', 'e', 'l', 'e', 't', 'y', '_', 'e', 'w', 'r', 'i', 't', 'e', 'r', 's']","['a', 'o', 'h', 'n', 'd', 'u', 'm', 'c', 'f', 'g']",14,0,False
printings,"['_', 'r', 'i', 'n', 't', 'i', 'n', '_', 's']","['e', 'a', 'o', 'h', 'd', 'l', 'u', 'm', 'w', 'c']",7,0,False
southerns,"['s', 'o', 'u', 't', 'h', 'e', 'r', 'n', 's']","['a', 'i', 'd', 'l']",9,6,True
joins,"['_', 'o', 'i', 'n', 's']","['e', 't', 'a', 'h', 'r', 'd', 'l', 'u', 'm', 'w']",4,0,False
evaluates,"['e', '_', 'a', 'l', 'u', 'a', 't', 'e', 's']","['o', 'i', 'h', 'n', 'r', 'd', 'm', 'w', 'c', 'y']",8,0,False
potsherds,"['_', 'o', 't', 's', 'h', 'e', 'r', 'd', 's']","['a', 'i', 'n', 'l', 'u', 'm', 'w', 'c', 'y', 'f']",8,0,False
unscheduled,"['u', 'n', 's', 'c', 'h', 'e', 'd', 'u', 'l', 'e', 'd']","['t', 'a', 'o', 'i', 'r', 'm', 'w']",11,3,True
aureole,"['a', 'u', 'r', 'e', 'o', 'l', 'e']","['t', 'i', 'h', 'n', 's', 'd']",7,4,True
underplays,"['u', 'n', 'd', 'e', 'r', 'p', 'l', 'a', 'y', 's']","['t', 'o', 'i', 'h', 'm', 'w', 'c', 'f', 'g']",10,1,True
vowels,"['_', 'o', 'w', 'e', 'l', 's']","['t', 'a', 'i', 'h', 'n', 'r', 'd', 'u', 'm', 'c']",5,0,False
misjudgment,"['m', 'i', 's', '_', 'u', 'd', 'g', 'm', 'e', 'n', 't']","['a', 'o', 'h', 'r', 'l', 'w', 'c', 'y', 'f', 'p']",10,0,False
backsides,"['_', 'a', 'c', '_', 's', 'i', 'd', 'e', 's']","['t', 'o', 'h', 'n', 'r', 'l', 'u', 'm', 'w', 'y']",7,0,False
antediluvian,"['a', 'n', 't', 'e', 'd', 'i', 'l', 'u', '_', 'i', 'a', 'n']","['o', 'h', 's', 'r', 'm', 'w', 'c', 'y', 'f', 'g']",11,0,False
plunking,"['_', 'l', 'u', 'n', '_', 'i', 'n', '_']","['e', 't', 'a', 'o', 'h', 's', 'r', 'd', 'm', 'w']",5,0,False
believe,"['_', 'e', 'l', 'i', 'e', '_', 'e']","['t', 'a', 'o', 'h', 'n', 's', 'r', 'd', 'u', 'm']",5,0,False
heralding,"['h', 'e', 'r', 'a', 'l', 'd', 'i', 'n', 'g']","['t', 'o', 's', 'u', 'm', 'w', 'c', 'y', 'f']",9,1,True
sting,"['s', 't', 'i', 'n', '_']","['e', 'a', 'o', 'h', 'r', 'd', 'l', 'u', 'm', 'w']",4,0,False
miked,"['m', 'i', '_', 'e', 'd']","['t', 'a', 'o', 'h', 'n', 's', 'r', 'l', 'u', 'w']",4,0,False
unused,"['u', 'n', 'u', 's', 'e', 'd']","['t', 'a', 'o', 'i', 'h', 'r', 'l']",6,3,True
startlingly,"['s', 't', 'a', 'r', 't', 'l', 'i', 'n', 'g', 'l', 'y']","['e', 'o', 'h', 'd', 'u', 'm', 'w', 'c', 'f']",11,1,True
kowtows,"['_', 'o', '_', 't', 'o', '_', 's']","['e', 'a', 'i', 'h', 'n', 'r', 'd', 'l', 'u', 'm']",4,0,False
allure,"['a', 'l', 'l', 'u', 'r', 'e']","['t', 'o', 'i', 'h', 'n', 's', 'd']",6,3,True
princes,"['_', 'r', 'i', 'n', 'c', 'e', 's']","['t', 'a', 'o', 'h', 'd', 'l', 'u', 'm', 'w', 'y']",6,0,False
